pdf_name,page,confidence,event_type,trigger_terms,sentence
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,11,med,building_physics_performance,dew point|number,"3 0 (cid:9) (cid:9) T T h h e e r r m m o o m m è è t t r r e e s m ec o P u X ill / é ni Dew Point In/ -20.1 (cid:9) -14.8 (cid:9) -8.6 (cid:9) '-1.9 (cid:9) 2.7 (cid:9) 8.5 (cid:9) 11.3 (cid:9) 9.7 (cid:9) 4.6 ' -0.9 (cid:9) -8.4 (cid:9) -15.0 (cid:9) -2.7 (cid:9) Point de rosée le Standard Deviation 1,01 4.5 (cid:9) 4.2 (cid:9) 3.0 (cid:9) .2.2 (cid:9) 2.0 (cid:9) 1.8 (cid:9) 2.1 (cid:9) 1,8 (cid:9) 2.2 (cid:9) 1.6- (cid:9) 3.3 (cid:9) 4.2 ."
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,11,low,building_physics_performance,relative humidity|moisture,"Comme la température de result, the moisture content relative to the l'air est habituellement plus basse pendant la maximum possible at a g iven temperature, that nuit, sa capacité hygrométrique est réduite is, the relative humidity, is higher."
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,11,low,building_physics_performance,relative humidity|moisture,"Il afternoon, when the air is lower, again, because s'ensuit que, par rapport au maximum possible relative humidity is lower, again, because à une température donnée, le contenu en warm air is capable of holding more moisture vapeur d'eau c'est-à-dire l'humidité relative est than cold air."
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,11,low,building_physics_performance,moisture,"Par exemple, il est Because air temperatures are usually lower bien établi que l'humidité relative tend à être overnight the moisture-holding capacity of the plus élevée pendant la nuit et aux premières air is reduced during the pre-dawn period."
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,11,low,building_physics_performance,moisture,"Souvent, dans l'après-midi, l'air étant réchauffé, l'humidité relative diminue, là It becomes apparent why we have encore, parce que l'air chaud peut contenir situations in which the actual moisture content plus de vapeur d'eau que l'air froid."
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,11,med,building_physics_performance,relative humidity|dew point|number|units,"• Station Pressure B:Pal 94.76 (cid:9) 94.74 (cid:9) 94.64 (cid:9) 94.64 (cid:9) 94.58 (cid:9) 94.44 (cid:9) 94.66 (cid:9) 94.64 (cid:9) 94.66 (cid:9) 94.63 (cid:9) 94.67 (cid:9) 94.61 (cid:9) 94.64 (cid:9) Pression à la station lkPal Sea Level Pressure (kPa) 102.05 (cid:9) 101.97 (cid:9) 101.76 (cid:9) 101.61 (cid:9) 101.42 (cid:9) 101.21 (cid:9) 101.40 (cid:9) 101.40 (cid:9) 101.49 (cid:9) 101.56 (cid:9) 101.75 (cid:9) 101.80 (cid:9) 101.62 (cid:9) Pression au niveau dota mer (kPal Standard Devlation ikPal 0.35 (cid:9) 0.33 (cid:9) 0.33 (cid:9) 0.22 (cid:9) 0.21 (cid:9) 0.15 (cid:9) 0.12 (cid:9) 0.18 (cid:9) 0.18 (cid:9) 0.22 (cid:9) 0.20 (cid:9) 0.29 (cid:9) Ecart type (eel) TEMPERATURE and HUMIDITY TEMPÉRATURE ET HUMIDITÉ Dry Bulb (OC) -18.4 (cid:9) -14.8 (cid:9) -9.3 (cid:9) 0.1 (cid:9) 7.2 (cid:9) 12.3 (cid:9) 14.9 (cid:9) 13.9 (cid:9) 8.1 (cid:9) 2.0 (cid:9) -6.6 (cid:9) -13.5 (cid:9) -0.3 (cid:9) Thermomètre sec (OC) Wet Bulb (clE) -18.5 (cid:9) -15.0 (cid:9) -9.6 (cid:9) -1.2 (cid:9) 4.8 (cid:9) 9.8 (cid:9) 12.5 (cid:9) 11.1 (cid:9) 6.0 (cid:9) 0.4 (cid:9) -7.2 (cid:9) -13.7 (cid:9) -1.7 (cid:9) Thermomètre mouillé (°E) Dew Point OS/ -21.1 (cid:9) -17.2 (cid:9) -11.5 (cid:9) -3.3 (cid:9) 2.1 (cid:9) 7.7 (cid:9) 10.7 (cid:9) 9.1 (cid:9) 3.9 (cid:9) -1.9 (cid:9) -9.2 (cid:9) -15.9 (cid:9) -3,9 (cid:9) Point de rosée ll,C) Standard Deviation 1°C/ 4.5 (cid:9) 4.2 (cid:9) 3.5 (cid:9) 2.0 (cid:9) 1.9 (cid:9) 1.7 (cid:9) 1.6 (cid:9) 1.5 (cid:9) 1.9 (cid:9) 1.5 (cid:9) 3.1 (cid:9) 4.2 (cid:9) Ecart type Ff) Relative Humidity (%) 79 (cid:9) 82 (cid:9) 84 (cid:9) BO (cid:9) 72 (cid:9) 75 (cid:9) 77 (cid:9) 75 (cid:9) 76 (cid:9) 77 (cid:9) 82 (cid:9) 82 (cid:9) 78 (cid:9) Humidité relative (%) Vapour Pressure lkPal 0.16 (cid:9) 0.20 (cid:9) 0.30 (cid:9) 0.51 (cid:9) 0.75 (cid:9) 1.09 (cid:9) 1.32 (cid:9) 1.19 (cid:9) 0.84 (cid:9) 0.56 (cid:9) 0.34 (cid:9) 0.22 (cid:9) 0.62 (cid:9) Prgssion de vapeur lkPa) Standard Deviation 11(Pré 0.05 (cid:9) 0.07 (cid:9) 0.07 (cid:9) 0.07 (cid:9) 0.10 (cid:9) 0.12 (cid:9) 0.14 (cid:9) 0.11 (cid:9) 0.11 (cid:9) 0.06 (cid:9) 0.07 (cid:9) 0.06 (cid:9) Ecart type )kPal PRESSURE(cid:9) H7 UT • PRESSION (cid:9) 07 (441 Station Pressure lkPal 94.77 (cid:9) 94.75 (cid:9) 94.63 (cid:9) 94.67 (cid:9) 94.64 (cid:9) 94.49 (cid:9) 94.72 (cid:9) 94.70 (cid:9) 94.69 (cid:9) 94.66 (cid:9) 94.67 (cid:9) 94.61 (cid:9) 94.67 (cid:9) Pression à la station (kPal Sea Level Pressure IkPal 102.06 (cid:9) 101.97 (cid:9) 101.75 (cid:9) 101.64 (cid:9) 101.49 (cid:9) 101.27 (cid:9) 101.48 (cid:9) 101.46 (cid:9) 101.54 (cid:9) 101.60 (cid:9) 101.76 (cid:9) 101.81 (cid:9) 101.65 (cid:9) Pression au niveau de la mer Ide) Standard Deviation lkPal 0.34 (cid:9) 0.33 (cid:9) 0.33 (cid:9) 0.23 (cid:9) 0.21 (cid:9) 0.15 (cid:9) 0.12 (cid:9) 0.18 (cid:9) 0.18 (cid:9) 0.22 (cid:9) 0.20 (cid:9) 0.29 (cid:9) Ecart type 11(Pa) TEMPERATURE and HUMIDITY TEMPÉRATURE ET HUMIDITÉ Dry Bulb -19.0 (cid:9) -15.9 (cid:9) -10.5 (cid:9) -0.4 (cid:9) 7.8 (cid:9) 13.3 (cid:9) 15.5 (cid:9) 13.4 (cid:9) 6.7 (cid:9) 0.6 (cid:9) -7.6 (cid:9) -14.1 (cid:9) -0.9 (cid:9) Thermomètre sec (OC) Wet Bulb (0C) -19.0 (cid:9) -16.0 (cid:9) -10.8 (cid:9) -1.5 (cid:9) 5.4 (cid:9) 10.6 (cid:9) 13.1 (cid:9) 11.2 (cid:9) 5.3 (cid:9) -0.5 (cid:9) -8.0 (cid:9) -14.3 (cid:9) -2.0 (cid:9) Thermomètre mouillé (°C) Dew Point (0E1 -21.5 (cid:9) -18.2 (cid:9) -12.6 (cid:9) -3.4 (cid:9) 2.8 (cid:9) 8.5 (cid:9) 11.4 (cid:9) 9.5 (cid:9) 3.7 (cid:9) -2.3 (cid:9) -9.9 (cid:9) -16.5 (cid:9) -4.0 (cid:9) Poipt de rosée PX) Standard Deviation (OC) 4.3 (cid:9) 4.1 (cid:9) 3.8 (cid:9) 1.8 (cid:9) 1.9 (cid:9) 1.7 (cid:9) 1.5 (cid:9) 1.5 (cid:9) 1.8 (cid:9) 1.5 (cid:9) 3.2 (cid:9) 4.1 (cid:9) Ecart type lcc) Relative Humidity (°/0) 79 (cid:9) 82 (cid:9) 85 (cid:9) 81 (cid:9) 73 (cid:9) 74 (cid:9) 77 (cid:9) 79 (cid:9) 82 (cid:9) 82 (cid:9) 84 (cid:9) 82 (cid:9) eo (cid:9) Humidité relative MI Vapour Pressure lkPal 0.15 (cid:9) 0.19 (cid:9) 0.28 (cid:9) 0.50 (cid:9) 0.78 (cid:9) 1.15 (cid:9) 1.38 (cid:9) 1.22 (cid:9) 0.83 (cid:9) 0.55 (cid:9) 0.33 (cid:9) 0.21 (cid:9) 0.63 (cid:9) Pression de vapeur lkPal Standard Deviation 0.05 (cid:9) 0.06 (cid:9) 0.07 (cid:9) 0.06 (cid:9) 0.11 (cid:9) 0.12 (cid:9) 0.14 (cid:9) 0.12 (cid:9) 0.10 (cid:9) 0.06 (cid:9) 0.06 (cid:9) 0.06 (cid:9) Ecart type lkPal PRESSURE 1:87 PRESSION (cid:9) 13 lin Station Pressure (M'a) 94.76 (cid:9) 94.75 (cid:9) 94.64 (cid:9) 94.62 (cid:9) 94.57 (cid:9) 94.44 (cid:9) 94.68 (cid:9) 94.64 (cid:9) 94.64 (cid:9) 94.62 (cid:9) 94.65 (cid:9) 94.60 (cid:9) 94.63 (cid:9) Pression à le Station 11,Pai See Level Pressure lkPal 102.06 (cid:9) 101.97 (cid:9) 101.76 (cid:9) 101.58 (cid:9) 101.41 (cid:9) 101.20 (cid:9) 101.43 (cid:9) 101.40 (cid:9) 101.49 (cid:9) 101.55 (cid:9) 101.73 (cid:9) 101.80 (cid:9) 101.62 (cid:9) Pression au niveau de la mer (kPal Standard Deviation (kPa) 0.34 (cid:9) 0.34 (cid:9) 0.34 (cid:9) 0.23 (cid:9) 0.20 (cid:9) 0.14 (cid:9) 0.12 (cid:9) 0.19 (cid:9) .0.19 (cid:9) 0.22 (cid:9) 0.20 (cid:9) 0.29 (cid:9) Écart type iliPai TEMPERATURE and HUMIDITY TEMPÉRATURE ET HUMIDITÉ Dry Bulb In) -15.8 (cid:9) -11.2 (cid:9) -4.3 (cid:9) 7.1 (cid:9) 15.7 (cid:9) 20.5 (cid:9) 23.8 (cid:9) 12.9 (cid:9) 16.5 (cid:9) 10.0 (cid:9) -1.8 (cid:9) -10.6 (cid:9) 6.1 (cid:9) Thermomètre sec (OC) Wet Bulb 1°C) -16.1 (cid:9) -11.6 (cid:9) -5.5 (cid:9) 3.1 (cid:9) 9.1 (cid:9) 13.5 (cid:9) 16.1 (cid:9) 15.1 (cid:9) 10.4 (cid:9) 5.4 (cid:9) -3.6 (cid:9) -11.2 (cid:9) 2.1 (cid:9) Thermomètre mouillé EU Dew Point.I0C) -19.0 (cid:9) -14.2 (cid:9) -8.2 (cid:9) -2.1 (cid:9) 2.8 (cid:9) 8.4 (cid:9) 11.4 (cid:9) 9.9 (cid:9) 5.2 (cid:9) 0.2 (cid:9) -7.0 (cid:9) 0_13,9 (cid:9) -2.2 (cid:9) Poilu de rosée (oC) Standard Deviation (OC) 4.7 (cid:9) 4.2 (cid:9) 3.0 (cid:9) 1.9 (cid:9) 2.1 (cid:9) 1.6 (cid:9) 1.8 (cid:9) 1.6 (cid:9) 2.1 (cid:9) 1.8 (cid:9) 3.2 (cid:9) 4.3 (cid:9) Ecart type (OC) Relative Humidity (%) 77 (cid:9) 78 (cid:9) 76 (cid:9) 57 (cid:9) 46 (cid:9) 50 (cid:9) 48 (cid:9) 47 (cid:9) 51 (cid:9) 54 (cid:9) 70 (cid:9) 77 (cid:9) 61 (cid:9) Humidité relative (°/e) VaPour Pressure (kPal 0.18 (cid:9) 0.25 (cid:9) 0.37 (cid:9) 0.55 (cid:9) 0.79 (cid:9) 1.15 (cid:9) 1.39 (cid:9) 1.26 (cid:9) 0.92 (cid:9) 0.65 (cid:9) 0.40 (cid:9) 0.26 (cid:9) 0.68 (cid:9) Prqssion de vapeur (kPal Standard Daviation (kPa) - 0.07 (cid:9) 0.08 (cid:9) 0.08 (cid:9) 0.08 (cid:9) 0.12 (cid:9) 0.12 (cid:9) 0.16 (cid:9) 0.13 (cid:9) 0.13 (cid:9) 0.08 (cid:9) 0.08 (cid:9) 0.07 (cid:9) Ecart type lkPal PRESSURE (cid:9) ""19 LUT PRESSION (cid:9) 19 HNL Station Pressure IkPat (cid:9) 94.78 94.73 (cid:9) 94.62 (cid:9) 94.58 (cid:9) 94.49 (cid:9) 94.35 (cid:9) 94.59 (cid:9) 94.55 (cid:9) 94.60 (cid:9) 94.61 (cid:9) 94.66 (cid:9) 94.62 (cid:9) 94:60 (cid:9) Pression à le station Ida) Sea Lavai Pressure lePed (cid:9) 102.08 101.95 101.74 101.54 101.34 101.12 101.33 101.31 101.45 101.55 101.75 101.82 101:58 (cid:9) Pression au niveau de la mer lkPai Standard Devietion IkPe) (cid:9) 0.34 0.33 (cid:9) 0.33 (cid:9) 0.23 (cid:9) 0.21 (cid:9) 0.13 (cid:9) 0.12 (cid:9) 0.19 (cid:9) 0.18- (cid:9) 0.22 ."
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,12,low,building_physics_performance,dew point,At some stations during cold months mean wet bulb and dew point temperatures are La température moyenne du thermomètre missing from the tables.
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,12,low,building_physics_performance,dew point,"Mean dew point temperatures similarly paraît plus basse que celle du thermomètre affected have also been deleted from the mouillé et, en ce cas, cette dernière tables."
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,14,med,building_physics_performance,relative humidity|dew point|number|units,"Station Pressure kPa Pression à la station kPa Sea Level Pressure kPa Pression au niveau de la mer kPa Dry Bulb Temperature °C Température du thermomètre sec °C Wet Bulb Temperature °C Température du thermomètre Dew Point Temperature °C mouillé OC Relative Humidity Température du point de rosée °C Vapour Pressure kPa Humidité relative Tension de vapeur kPa kPa kilopascal kPa kilopascal mb millibar mb millibar kN m-2 kilonewton per square metre kN rn-2 kilonewton par mètre carré kg cm-2 kilogram per square centimetre kg cm-2 kilogramme par centimètre carré psf pounds per square foot 2 I b/pi livre par pied carré psi pounds per square inch lb/po 2 livre par pouce carré 1 kPa = (cid:9) 10 mb 1 kPa = (cid:9) 10 mb = (cid:9) 0.2953 inches of Mercury = (cid:9) 0,2953 pouce de mercure = (cid:9) 20.885 psf = (cid:9) 20,885 lb/pi 2 = (cid:9) 0.145 psi = (cid:9) 0,145 lb/po 2 = (cid:9) 0.010 kg cm-2 = (cid:9) 0,010 kg cm-2 = (cid:9) 1.0 kN m -2 = (cid:9) 1,0 kN M -2 5."
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,15,med,building_physics_performance,dew point|number,"Atmospheric Environment Service: Remote Service de l'environnement atmosphérique: Temperature and Dew Point Measuring Remote Temperature and Dew Point System Type 2, Instrument Manual 32, Measuring System Type 2, Instrument First Edition, 1971."
