entity_name,entity_type,entity_variant,event_count,science_research_v1_score,science_research_v1_bucket,biohacking_curiosity_v1_score,biohacking_curiosity_v1_bucket
nod-scid,model,unknown,3,8.50,strong,3.50,stalled
mmp3,target,protein,14,14.64,exploratory,13.79,exploratory
asterisks,peptide,,1,1.00,deprioritized,1.00,deprioritized
iiandiii,peptide,,1,1.00,deprioritized,1.00,deprioritized
neuropathic pain,indication,disease,1,2.00,stalled,2.00,stalled
growth medium,model,unknown,13,31.92,strong,16.23,promising
nanog,target,protein,42,50.30,exploratory,50.13,exploratory
differentiated,peptide,,1,1.60,deprioritized,1.60,deprioritized
serum-free medium,model,unknown,6,16.80,strong,8.73,promising
basal medium,model,unknown,2,5.92,exploratory,3.96,stalled
defined medium,model,unknown,2,4.93,exploratory,3.47,stalled
triangles,peptide,,1,1.45,deprioritized,1.45,deprioritized
spheroids,model,3d_model,13,30.76,strong,14.92,exploratory
caco-2,model,cell_line,3,9.10,strong,3.72,stalled
cell-based assay,assay,assay,1,3.00,stalled,-1.25,deprioritized
octreotide,compound,drug,1,1.33,deprioritized,2.67,stalled
thrombosis,indication,disease,2,5.20,exploratory,6.20,promising
oct4,target,protein,42,49.85,exploratory,49.40,exploratory
egfr,target,protein,1,1.70,deprioritized,1.70,deprioritized
esc,stem_cell,unknown,19,24.49,promising,24.12,promising
hesc,model,unknown,23,52.91,strong,26.02,exploratory
epithelial-mesenchymal transition,pathway,pathway,2,5.80,exploratory,1.90,deprioritized
colon cancer,indication,disease,1,2.00,stalled,2.00,stalled
kd,assay,metric,12,31.93,strong,7.67,stalled
klf4,target,protein,19,19.47,exploratory,19.00,exploratory
stat5,pathway,pathway,1,3.63,stalled,0.57,deprioritized
luteolin,compound,drug,3,4.67,exploratory,13.50,strong
tumor tissue,model,unknown,3,7.20,promising,3.60,stalled
stem-cell,stem_cell,,1,1.50,deprioritized,1.00,deprioritized
hemophilia,indication,disease,3,9.40,strong,8.40,strong
bone loss,indication,disease,2,4.00,exploratory,5.00,exploratory
cox2,target,protein,1,1.00,deprioritized,1.00,deprioritized
atherosclerosis,indication,disease,2,4.80,exploratory,5.80,exploratory
hct116,model,cell_line,1,2.00,stalled,1.00,deprioritized
mda-mb-231,model,cell_line,8,18.23,strong,9.30,exploratory
quadrupole,assay,assay,1,2.50,stalled,1.00,deprioritized
ld50,assay,metric,1,2.00,stalled,1.00,deprioritized
microsome,model,unknown,1,2.50,stalled,1.50,deprioritized
lc-ms/ms,assay,assay,1,2.50,stalled,1.00,deprioritized
cmax,assay,metric,1,2.50,stalled,1.00,deprioritized
hk2,target,protein,1,1.00,deprioritized,1.00,deprioritized
ulcerative colitis,indication,disease,1,2.00,stalled,2.00,stalled
sakigake,peptide,,1,1.00,deprioritized,1.50,deprioritized
ibd,indication,disease,1,2.00,stalled,2.50,stalled
psoriasis,indication,disease,6,11.17,strong,12.00,strong
atopic dermatitis,indication,disease,5,10.00,strong,10.00,strong
keratinocytes,model,unknown,2,4.60,exploratory,2.30,stalled
spheroid,model,3d_model,3,7.98,promising,3.24,stalled
precipitation,assay,assay,2,4.00,exploratory,1.00,deprioritized
eczema,indication,disease,1,2.00,stalled,2.00,stalled
scarring,peptide,,1,1.00,deprioritized,1.00,deprioritized
hmsc,model,unknown,1,3.00,stalled,2.00,stalled
organ-on-chip,model,unknown,1,2.90,stalled,1.20,deprioritized
liver fibrosis,indication,disease,1,2.90,stalled,1.40,deprioritized
igf-1r,target,protein,1,1.40,deprioritized,1.40,deprioritized
nmr,assay,assay,1,3.70,stalled,0.80,deprioritized
femaleescs,peptide,,1,1.00,deprioritized,1.00,deprioritized
dnmtgenes,peptide,,1,1.00,deprioritized,1.00,deprioritized
