entity_name,entity_type,entity_variant,event_count,science_research_v1_score,science_research_v1_bucket,biohacking_curiosity_v1_score,biohacking_curiosity_v1_bucket
spr,assay,assay,1,2.37,stalled,-2.53,deprioritized
high-throughput screening,assay,assay,7,18.74,strong,4.40,stalled
hts,assay,assay,2,5.16,exploratory,-0.96,deprioritized
reporter assay,assay,assay,3,7.65,promising,-0.13,deprioritized
ic50,assay,metric,2,5.16,exploratory,-0.46,deprioritized
dose-response,assay,metric,3,7.10,promising,0.40,deprioritized
translation,pathway,pathway,46,115.30,strong,57.44,promising
msc,stem_cell,,267,300.47,exploratory,299.88,exploratory
stem cell,stem_cell,,269,299.75,exploratory,299.08,exploratory
curcumin,compound,drug,2,3.00,stalled,3.50,stalled
pigs,model,unknown,1,2.90,stalled,0.20,deprioritized
dogs,model,unknown,2,5.80,exploratory,2.90,stalled
peptidase,target,protein,4,5.90,exploratory,5.90,exploratory
differentiation,stem_cell,,245,273.08,exploratory,272.60,exploratory
phosphorylation,pathway,pathway,24,54.48,strong,27.37,exploratory
erk1,target,protein,4,7.02,promising,5.02,exploratory
mek,pathway,pathway,3,11.40,strong,5.28,exploratory
lung cancer,indication,disease,3,6.00,promising,6.00,promising
ubiquitin,target,protein,4,6.00,promising,3.50,stalled
proteasome,pathway,pathway,3,10.60,strong,4.47,exploratory
proteolysis,pathway,pathway,2,5.00,exploratory,1.50,deprioritized
signal transduction,pathway,pathway,7,15.57,strong,6.71,exploratory
pancreatic cancer,indication,disease,12,35.17,strong,34.50,strong
heart failure,indication,disease,6,16.93,strong,15.60,strong
copd,indication,disease,2,6.40,promising,6.40,promising
kidney disease,indication,disease,4,9.84,strong,9.59,strong
chronic kidney disease,indication,disease,3,9.60,strong,9.60,strong
sepsis,indication,disease,2,6.40,promising,6.40,promising
ace,target,protein,8,14.90,strong,14.40,strong
extract,model,unknown,12,29.47,strong,14.32,exploratory
potency,assay,metric,17,34.18,strong,8.97,stalled
sulforaphane,compound,drug,1,1.50,deprioritized,2.00,stalled
wnt,pathway,pathway,48,112.27,strong,55.36,exploratory
type 2 diabetes,indication,disease,2,4.00,exploratory,4.00,exploratory
adipocytes,model,unknown,5,12.12,strong,6.46,promising
synthase,target,protein,10,13.37,promising,11.87,exploratory
kinase,target,protein,35,42.33,promising,41.16,exploratory
affinity,assay,metric,15,42.60,strong,10.50,stalled
oxidation,pathway,pathway,10,23.00,strong,11.70,exploratory
sampleheating,peptide,,1,1.60,deprioritized,1.60,deprioritized
bsa,model,unknown,13,29.76,strong,15.49,exploratory
b cells,model,unknown,13,31.83,strong,15.76,promising
rpmi,model,unknown,3,8.27,strong,2.80,stalled
jurkat,model,unknown,2,4.87,exploratory,0.93,deprioritized
u937,model,cell_line,2,4.87,exploratory,0.93,deprioritized
anemia,indication,disease,3,6.67,promising,6.00,promising
monocytes,model,unknown,8,18.69,strong,9.16,exploratory
primate,model,unknown,7,20.04,strong,9.52,promising
pbmc,model,unknown,1,2.00,stalled,1.00,deprioritized
hsp90,target,protein,4,4.75,exploratory,4.25,exploratory
tlr9,target,protein,2,3.30,stalled,3.30,stalled
mem,model,unknown,8,20.29,strong,10.08,promising
endocytosis,pathway,pathway,9,25.53,strong,13.04,promising
accuracy,assay,assay,5,13.70,strong,3.52,stalled
quality control,assay,assay,10,24.30,strong,6.20,stalled
reproducibility,assay,assay,37,89.49,strong,22.55,stalled
hiv,indication,disease,4,10.10,strong,9.85,strong
phosphatase,target,protein,7,9.44,promising,8.87,promising
precision,assay,assay,7,21.74,strong,5.76,exploratory
t cells,model,unknown,53,119.96,strong,60.05,exploratory
immune response,pathway,pathway,9,19.33,strong,9.44,exploratory
lupus,indication,disease,13,37.55,strong,36.71,strong
arthritis,indication,disease,5,14.60,strong,12.80,strong
necrosis,pathway,pathway,17,41.03,strong,20.34,exploratory
alleviate,peptide,,1,1.50,deprioritized,1.00,deprioritized
tgf-beta,pathway,pathway,2,5.00,exploratory,2.50,stalled
bioavailability,assay,metric,2,6.47,promising,1.87,deprioritized
urine,model,biofluid,5,12.60,strong,6.50,promising
oxidative phosphorylation,pathway,pathway,3,7.50,promising,4.00,exploratory
selectivity,assay,metric,9,17.10,strong,4.27,stalled
therapeutic index,assay,metric,1,2.50,stalled,0.50,deprioritized
renin,target,protein,2,3.00,stalled,4.00,exploratory
xenografts,model,unknown,9,23.61,strong,11.36,promising
breast cancer,indication,disease,21,46.31,strong,46.03,strong
hplc,assay,assay,2,5.00,exploratory,1.00,deprioritized
inflammatory response,pathway,pathway,2,4.00,exploratory,2.00,stalled
tlr4,target,protein,18,21.42,exploratory,20.08,exploratory
hydrolysis,pathway,pathway,3,6.00,promising,3.00,stalled
nf-κb,target,protein,13,15.63,promising,13.33,exploratory
nf-κb,pathway,pathway,13,29.19,strong,13.33,exploratory
tnf-α,target,protein,30,37.26,promising,36.56,promising
bacterial infection,indication,disease,4,9.20,strong,9.20,strong
macrophages,model,unknown,31,69.01,strong,34.10,exploratory
phagocytosis,pathway,pathway,11,27.49,strong,13.02,exploratory
