path,pdf_name,source,pages,sentences,total_hits,hits_per_page,dominant_lens,lens_distribution
cache/rss_organized/construction_science/review/3215854a0e84f80ce3d75738378a95f904dc29f222dcc29d2be9d976c9a048bf.pdf,3215854a0e84f80ce3d75738378a95f904dc29f222dcc29d2be9d976c9a048bf.pdf,review_bucket,16,37,17,1.0625,compliance,compliance=17
cache/rss_organized/construction_science/review/22a9de29fdc815ceb5f4564927563404272459a3aa574a958ce3a08b33ceec85.pdf,22a9de29fdc815ceb5f4564927563404272459a3aa574a958ce3a08b33ceec85.pdf,review_bucket,5,62,15,3.0,insurance_risk,compliance=2; failure=4; insurance_risk=9
cache/rss_organized/construction_science/review/b8a7922388b77534b9b4a266158d7a87fa821c3b6f140d9da87b00bcb733e9fc.pdf,b8a7922388b77534b9b4a266158d7a87fa821c3b6f140d9da87b00bcb733e9fc.pdf,review_bucket,2,50,15,7.5,insurance_risk,climate=3; failure=1; insurance_risk=11
cache/rss/9f43eb70b869170202fcc4db3177d048_emech7_04.pdf,9f43eb70b869170202fcc4db3177d048_emech7_04.pdf,gold_corpus,19,286,14,0.7368421052631579,materials,compliance=1; failure=5; insurance_risk=2; materials=6
cache/rss/Material_Failures.pdf,Material_Failures.pdf,gold_corpus,17,248,14,0.8235294117647058,failure,climate=2; failure=7; insurance_risk=4; materials=1
cache/rss_organized/construction_science/review/6240979c66613bad760b71970bb2cd6c31ff13cc8a3f863d3173feb5b30d279a.pdf,6240979c66613bad760b71970bb2cd6c31ff13cc8a3f863d3173feb5b30d279a.pdf,review_bucket,4,53,14,3.5,climate,climate=7; compliance=2; failure=1; insurance_risk=4
cache/rss/547c9f48c4ff3e9c42eef62cdbf8addab65cda1bc6c84d6304eec43e0bb89a4a.pdf,547c9f48c4ff3e9c42eef62cdbf8addab65cda1bc6c84d6304eec43e0bb89a4a.pdf,gold_corpus,1,21,12,12.0,building_physics,building_physics=5; compliance=1; failure=3; insurance_risk=3
cache/rss/36670f497ee7f9dcb488981a6dde06266a373dfc79c5e1213e6e60a30ed6d7b8.pdf,36670f497ee7f9dcb488981a6dde06266a373dfc79c5e1213e6e60a30ed6d7b8.pdf,triage,4,75,10,2.5,failure,building_physics=3; climate=1; compliance=2; failure=3; insurance_risk=1
cache/rss/4a57a0b7b1c0bc79f2834dc1f2002f3a.pdf,4a57a0b7b1c0bc79f2834dc1f2002f3a.pdf,gold_corpus,44,695,9,0.20454545454545456,materials,materials=9
cache/rss/BridgeCollapses2.pdf,BridgeCollapses2.pdf,gold_corpus,10,360,9,0.9,failure,climate=1; failure=6; materials=2
cache/rss_organized/construction_science/review/b3535df06322676ebb6b5f2efe98e95498e288d98480435be6d43070465696f0.pdf,b3535df06322676ebb6b5f2efe98e95498e288d98480435be6d43070465696f0.pdf,review_bucket,2,10,7,3.5,failure,climate=3; failure=3; insurance_risk=1
cache/rss_organized/construction_science/review/c66637ad5b7038e833f7af58d8121cc3f9282fdd9ea710bd8189d76276ba0b55.pdf,c66637ad5b7038e833f7af58d8121cc3f9282fdd9ea710bd8189d76276ba0b55.pdf,review_bucket,2,3,7,3.5,failure,climate=3; failure=3; insurance_risk=1
