entity_type,entity_name,entity_variant,role,event_count,paper_count,original_variants,first_seen,last_seen
pathway,translation,pathway,primary,16,12,translation,2026-01-23T12:38:51Z,2026-01-24T16:33:30Z
pathway,APOPTOSIS,pathway,primary,15,8,apoptosis,2026-01-23T12:29:49Z,2026-01-23T12:48:58Z
model,Rabbit,unknown,primary,15,7,Rabbit,2026-01-23T12:23:21Z,2026-01-23T13:58:21Z
indication,CANCER,disease,primary,14,12,cancer,2026-01-23T12:23:20Z,2026-01-23T12:51:45Z
assay,reproducibility,assay,primary,13,7,reproducibility,2026-01-23T12:27:36Z,2026-01-23T12:49:43Z
indication,infection,disease,primary,13,10,infection,2026-01-23T12:23:14Z,2026-01-23T12:48:47Z
target,IL-6,protein,primary,12,8,IL-6,2026-01-23T12:22:49Z,2026-01-23T12:48:30Z
pathway,phagocytosis,pathway,primary,12,8,phagocytosis,2026-01-23T12:23:20Z,2026-01-23T12:48:55Z
model,In situ,unknown,primary,12,7,In situ,2026-01-23T12:32:01Z,2026-01-23T13:55:47Z
assay,precision,assay,primary,12,7,precision,2026-01-23T12:23:29Z,2026-01-23T12:46:08Z
target,AKT,protein,primary,11,4,AKT,2026-01-23T12:41:24Z,2026-01-24T16:33:25Z
pathway,pyroptosis,pathway,primary,11,2,pyroptosis,2026-01-23T12:39:00Z,2026-01-23T12:41:32Z
pathway,proliferation,pathway,primary,11,8,proliferation,2026-01-23T12:24:16Z,2026-01-24T16:33:25Z
assay,ELISA,assay,primary,11,3,ELISA,2026-01-23T12:34:40Z,2026-01-23T12:47:41Z
pathway,migration,pathway,primary,11,7,migration,2026-01-23T12:34:39Z,2026-01-23T12:47:17Z
model,CHO,unknown,primary,11,6,CHO,2026-01-23T12:32:38Z,2026-01-23T13:52:51Z
assay,FLOW CYTOMETRY,assay,primary,11,4,flow cytometry,2026-01-23T12:34:40Z,2026-01-23T12:49:44Z
indication,migraine,disease,primary,10,2,migraine,2026-01-23T12:32:55Z,2026-01-23T12:36:46Z
pathway,AGGREGATION,pathway,primary,10,5,aggregation,2026-01-23T12:23:11Z,2026-01-23T12:49:32Z
pathway,lysosome,pathway,primary,10,4,lysosome,2026-01-23T12:39:55Z,2026-01-24T16:34:41Z
model,Cytoplasmic,unknown,primary,10,8,Cytoplasmic,2026-01-23T12:23:11Z,2026-01-23T13:57:57Z
assay,affinity,metric,primary,10,4,affinity,2026-01-23T12:29:48Z,2026-01-23T12:49:44Z
model,Primate,unknown,primary,10,3,Primate,2026-01-23T12:38:01Z,2026-01-23T12:48:18Z
target,OXIDASE,protein,primary,9,4,OXIDASE,2026-01-23T12:22:57Z,2026-01-23T12:48:56Z
target,PI3K,protein,primary,9,6,PI3K,2026-01-23T12:36:07Z,2026-01-24T16:33:25Z
pathway,mTORC1,pathway,primary,9,3,mTORC1,2026-01-24T16:32:24Z,2026-01-24T16:34:42Z
pathway,TGF-β,pathway,primary,9,7,TGF-β,2026-01-23T12:23:00Z,2026-01-23T12:48:50Z
pathway,secretion,pathway,primary,9,6,secretion,2026-01-23T12:23:05Z,2026-01-24T16:32:28Z
target,CAT,protein,primary,9,7,CAT,2026-01-23T12:22:52Z,2026-01-23T13:55:45Z
model,DMEM,unknown,primary,9,6,DMEM,2026-01-23T12:41:26Z,2026-01-23T13:55:59Z
pathway,exocytosis,pathway,primary,9,6,exocytosis,2026-01-23T12:24:16Z,2026-01-24T16:34:49Z
assay,WESTERN BLOT,assay,primary,9,5,Western blot,2026-01-23T12:27:45Z,2026-01-23T12:47:41Z
model,Zebrafish,unknown,primary,9,5,Zebrafish,2026-01-23T12:27:37Z,2026-01-23T13:57:41Z
model,Cytoplasm,unknown,primary,8,5,Cytoplasm,2026-01-23T12:29:15Z,2026-01-23T13:57:25Z
pathway,necrosis,pathway,primary,8,8,necrosis,2026-01-23T12:22:49Z,2026-01-24T16:32:21Z
pathway,trafficking,pathway,primary,8,5,trafficking,2026-01-23T12:30:36Z,2026-01-23T12:49:49Z
target,MAPK,protein,primary,8,6,MAPK,2026-01-23T12:23:20Z,2026-01-24T16:33:29Z
target,UBIQUITIN,protein,primary,8,4,UBIQUITIN,2026-01-23T12:44:32Z,2026-01-24T16:34:45Z
model,BSA,unknown,primary,8,5,BSA,2026-01-23T12:28:05Z,2026-01-23T12:49:22Z
pathway,senescence,pathway,primary,7,3,senescence,2026-01-24T16:32:28Z,2026-01-24T16:34:44Z
target,SYNTHASE,protein,primary,7,6,SYNTHASE,2026-01-23T12:34:47Z,2026-01-24T16:33:39Z
model,Ex vivo,unknown,primary,7,4,Ex vivo,2026-01-23T12:33:37Z,2026-01-23T12:45:15Z
indication,schizophrenia,disease,primary,7,4,schizophrenia,2026-01-23T12:32:03Z,2026-01-23T12:44:40Z
pathway,immune response,pathway,primary,7,6,immune response,2026-01-23T12:22:49Z,2026-01-24T16:33:19Z
stem_cell,MSC,,primary,7,6,MSC,2026-01-23T12:28:20Z,2026-01-23T12:49:21Z
model,MEM,unknown,primary,7,7,MEM,2026-01-23T12:29:51Z,2026-01-23T13:58:00Z
indication,anxiety,disease,primary,7,3,anxiety,2026-01-23T12:32:15Z,2026-01-23T12:50:41Z
model,HIPSC,unknown,primary,7,2,HIPSC,2026-01-23T12:23:04Z,2026-01-23T12:44:06Z
pathway,oxidative stress,pathway,primary,7,6,oxidative stress,2026-01-23T12:23:13Z,2026-01-24T16:32:23Z
target,NRF2,protein,primary,7,4,NRF2,2026-01-23T12:22:51Z,2026-01-23T12:48:55Z
target,FOXO1,protein,primary,6,2,FOXO1,2026-01-23T13:52:49Z,2026-01-24T16:33:25Z
indication,COVID-19,disease,primary,6,4,COVID-19,2026-01-23T12:36:40Z,2026-01-23T12:47:17Z
model,Extract,unknown,primary,6,3,Extract,2026-01-23T12:43:50Z,2026-01-23T13:54:47Z
target,TRANSPORTER,protein,primary,6,5,TRANSPORTER,2026-01-23T12:23:20Z,2026-01-23T12:44:32Z
assay,signal-to-noise ratio,assay,primary,6,2,signal-to-noise ratio,2026-01-23T12:38:51Z,2026-01-23T12:48:09Z
target,NFKB,protein,primary,6,3,NFKB,2026-01-23T12:22:49Z,2026-01-24T16:32:48Z
target,SYNTHETASE,protein,primary,6,2,SYNTHETASE,2026-01-23T12:40:10Z,2026-01-24T16:33:29Z
pathway,cAMP,pathway,primary,6,5,cAMP,2026-01-23T12:39:43Z,2026-01-23T12:48:58Z
stem_cell,pluripotent,,primary,6,6,pluripotent,2026-01-23T12:23:00Z,2026-01-23T13:54:32Z
model,Hek293,cell_line,primary,6,1,Hek293,2026-01-23T13:55:59Z,2026-01-23T13:56:05Z
pathway,mTORC2,pathway,primary,6,1,mTORC2,2026-01-24T16:33:25Z,2026-01-24T16:33:29Z
compound,EVEROLIMUS,drug,primary,5,1,EVEROLIMUS,2026-01-23T13:56:09Z,2026-01-23T13:56:16Z
model,Primates,unknown,primary,5,5,Primates,2026-01-23T12:34:58Z,2026-01-23T13:52:20Z
target,COX-2,protein,primary,5,3,COX-2,2026-01-23T12:34:47Z,2026-01-23T12:39:02Z
target,IL6,protein,primary,5,4,IL6,2026-01-23T12:40:19Z,2026-01-23T12:49:19Z
model,Knockout,unknown,primary,5,5,Knockout,2026-01-23T12:23:07Z,2026-01-23T12:50:37Z
indication,pain,disease,primary,5,4,pain,2026-01-23T12:32:57Z,2026-01-23T12:50:41Z
pathway,cyclin,pathway,primary,5,2,cyclin,2026-01-23T12:37:36Z,2026-01-23T12:43:56Z
pathway,signal transduction,pathway,primary,5,5,signal transduction,2026-01-23T12:30:22Z,2026-01-24T16:33:19Z
pathway,endocytosis,pathway,primary,5,4,endocytosis,2026-01-23T12:35:57Z,2026-01-23T12:49:47Z
pathway,NF-kB,pathway,primary,5,2,NF-kB,2026-01-23T12:34:47Z,2026-01-23T12:48:55Z
target,PHOSPHATASE,protein,primary,5,4,PHOSPHATASE,2026-01-23T12:36:25Z,2026-01-23T13:57:28Z
target,TNFA,protein,primary,5,3,TNFA,2026-01-23T12:22:49Z,2026-01-23T13:54:33Z
target,SIRT6,protein,primary,5,1,SIRT6,2026-01-23T13:55:23Z,2026-01-23T13:55:25Z
model,IPSC,unknown,primary,5,4,IPSC,2026-01-23T12:23:00Z,2026-01-23T12:40:19Z
assay,selectivity,metric,primary,5,4,selectivity,2026-01-23T12:31:25Z,2026-01-23T12:48:19Z
neural_cell,oligodendrocytes,cell_type,primary,5,4,oligodendrocyte; oligodendrocytes,2026-01-23T12:22:48Z,2026-01-23T12:41:34Z
compound,METFORMIN,drug,primary,4,2,METFORMIN,2026-01-23T13:52:48Z,2026-01-23T13:55:14Z
pathway,ferroptosis,pathway,primary,4,2,ferroptosis,2026-01-23T12:34:14Z,2026-01-23T12:45:09Z
target,ERK,protein,primary,4,3,ERK,2026-01-23T12:36:13Z,2026-01-24T16:33:25Z
pathway,PI3K/AKT,pathway,primary,4,2,PI3K/AKT,2026-01-23T12:41:24Z,2026-01-23T12:45:07Z
pathway,PKA,pathway,primary,4,3,PKA,2026-01-23T12:42:28Z,2026-01-24T16:34:42Z
target,AKT1,protein,primary,4,2,AKT1,2026-01-23T12:27:37Z,2026-01-24T16:33:25Z
stem_cell,organoid,,primary,4,4,organoid,2026-01-23T12:36:12Z,2026-01-23T12:44:06Z
pathway,β-catenin,pathway,primary,4,1,β-catenin,2026-01-23T12:43:03Z,2026-01-23T12:43:15Z
pathway,Ras,pathway,primary,4,3,Ras,2026-01-23T12:42:28Z,2026-01-24T16:33:25Z
model,Culture media,unknown,primary,4,1,Culture media,2026-01-23T12:48:24Z,2026-01-23T12:48:26Z
compound,SIROLIMUS,drug,primary,4,2,SIROLIMUS,2026-01-23T13:52:22Z,2026-01-23T13:56:11Z
target,PERK,protein,primary,4,1,PERK,2026-01-23T13:55:10Z,2026-01-24T16:33:29Z
target,IRE1,protein,primary,4,1,IRE1,2026-01-23T13:55:10Z,2026-01-24T16:33:34Z
target,P53,protein,primary,4,2,P53,2026-01-23T13:54:55Z,2026-01-23T13:57:37Z
model,Fibroblasts,unknown,primary,4,2,Fibroblasts,2026-01-23T12:23:01Z,2026-01-23T13:58:11Z
indication,malaria,disease,primary,4,2,malaria,2026-01-23T12:34:46Z,2026-01-23T12:42:58Z
pathway,STAT3,pathway,primary,4,2,STAT3,2026-01-23T12:34:48Z,2026-01-23T12:42:01Z
indication,chronic inflammation,disease,primary,3,3,chronic inflammation,2026-01-23T12:32:25Z,2026-01-23T12:49:00Z
neural_cell,motor neuron,cell_type,primary,3,1,motor neuron,2026-01-23T12:23:11Z,2026-01-23T12:23:15Z
assay,accuracy,assay,primary,3,3,accuracy,2026-01-23T12:30:24Z,2026-01-23T12:48:23Z
assay,half-life,metric,primary,3,3,half-life,2026-01-23T12:40:26Z,2026-01-23T12:47:43Z
neural_cell,neural progenitor,cell_type,primary,3,3,neural progenitor,2026-01-23T12:23:00Z,2026-01-24T16:33:27Z
indication,DIABETES,disease,primary,3,2,diabetes,2026-01-23T12:34:17Z,2026-01-23T12:48:38Z
target,SOD1,protein,primary,3,2,SOD1,2026-01-23T12:23:00Z,2026-01-23T13:55:36Z
pathway,protein synthesis,pathway,primary,3,3,protein synthesis,2026-01-23T12:36:27Z,2026-01-23T12:50:38Z
pathway,UPR,pathway,primary,3,1,UPR,2026-01-24T16:33:26Z,2026-01-24T16:33:30Z
pathway,cGMP,pathway,primary,3,3,cGMP,2026-01-23T12:23:20Z,2026-01-23T12:39:43Z
neural_cell,interneuron,cell_type,primary,3,2,interneuron,2026-01-23T12:47:49Z,2026-01-24T16:34:34Z
target,MYC,protein,primary,3,3,MYC,2026-01-23T12:43:54Z,2026-01-23T13:54:54Z
target,TRANSFERASE,protein,primary,3,2,TRANSFERASE,2026-01-23T12:41:30Z,2026-01-23T13:57:25Z
pathway,proteasome,pathway,primary,3,3,proteasome,2026-01-23T12:36:44Z,2026-01-24T16:34:45Z
compound,VASOPRESSIN,drug,primary,3,1,VASOPRESSIN,2026-01-23T12:27:45Z,2026-01-23T12:28:03Z
pathway,inflammatory response,pathway,primary,3,2,inflammatory response,2026-01-23T12:48:48Z,2026-01-23T12:49:32Z
model,URINE,biofluid,primary,3,2,URINE,2026-01-23T12:37:05Z,2026-01-23T12:42:53Z
target,FOXO3,protein,primary,3,2,FOXO3,2026-01-23T13:52:25Z,2026-01-24T16:32:23Z
model,Hepatocytes,unknown,primary,3,3,Hepatocytes,2026-01-23T13:52:49Z,2026-01-23T13:55:58Z
model,Culture medium,unknown,primary,3,2,Culture medium,2026-01-23T12:41:26Z,2026-01-23T12:48:27Z
indication,bacterial infection,disease,primary,3,2,bacterial infection,2026-01-23T12:35:51Z,2026-01-23T12:48:25Z
assay,confocal microscopy,assay,primary,3,2,confocal microscopy,2026-01-23T12:43:03Z,2026-01-23T12:44:18Z
peptide,DASHEDLINES,,primary,3,2,DASHEDLINES,2026-01-23T12:28:21Z,2026-01-24T16:33:11Z
target,ION CHANNEL,protein,primary,3,3,ION CHANNEL,2026-01-23T12:39:47Z,2026-01-23T12:42:25Z
target,SQSTM1,protein,primary,3,2,SQSTM1,2026-01-23T13:52:45Z,2026-01-24T16:32:24Z
target,P62,protein,primary,3,2,P62,2026-01-23T13:52:45Z,2026-01-24T16:32:24Z
assay,SEC,assay,primary,3,3,SEC,2026-01-23T12:29:48Z,2026-01-23T12:42:02Z
compound,RITUXIMAB,drug,primary,3,2,RITUXIMAB,2026-01-23T12:36:11Z,2026-01-23T12:36:44Z
target,PPARΓ,protein,primary,3,3,PPARΓ,2026-01-23T12:36:08Z,2026-01-23T12:48:55Z
target,SIRT1,protein,primary,3,3,SIRT1,2026-01-23T12:42:57Z,2026-01-23T13:55:03Z
target,IL1B,protein,primary,3,2,IL1B,2026-01-23T12:41:58Z,2026-01-23T12:49:19Z
target,TRYPSIN,protein,primary,3,3,TRYPSIN,2026-01-23T12:46:44Z,2026-01-23T12:49:21Z
model,Neurobasal,unknown,primary,3,2,Neurobasal,2026-01-23T12:28:05Z,2026-01-23T12:43:16Z
assay,RNA-seq,assay,primary,2,2,RNA-seq,2026-01-23T12:45:15Z,2026-01-23T12:49:08Z
assay,radioligand binding,assay,primary,2,1,radioligand binding,2026-01-23T12:49:33Z,2026-01-23T12:49:36Z
target,ATG7,protein,primary,2,1,ATG7,2026-01-23T13:57:59Z,2026-01-24T16:34:42Z
model,A549,cell_line,primary,2,2,A549,2026-01-23T13:54:47Z,2026-01-23T13:54:59Z
indication,anemia,disease,primary,2,1,anemia,2026-01-23T12:42:52Z,2026-01-23T12:42:57Z
stem_cell,stem-cell,,primary,2,2,stem-cell,2026-01-23T12:39:58Z,2026-01-23T13:54:32Z
indication,bipolar disorder,disease,primary,2,2,bipolar disorder,2026-01-23T12:36:28Z,2026-01-23T12:47:36Z
model,HELA,unknown,primary,2,2,HELA,2026-01-23T12:30:02Z,2026-01-23T13:57:47Z
stem_cell,mesenchymal,,primary,2,2,mesenchymal,2026-01-23T12:32:19Z,2026-01-23T12:45:09Z
target,PROTEINASE,protein,primary,2,2,PROTEINASE,2026-01-23T12:43:17Z,2026-01-23T12:45:15Z
target,MMP9,protein,primary,2,1,MMP9,2026-01-23T12:44:46Z,2026-01-23T12:44:48Z
pathway,hydrolysis,pathway,primary,2,2,hydrolysis,2026-01-23T12:29:55Z,2026-01-23T12:42:36Z
pathway,JAK-STAT,pathway,primary,2,1,JAK-STAT,2026-01-23T12:23:00Z,2026-01-23T12:23:00Z
target,UBIQUITIN LIGASE,protein,primary,2,1,UBIQUITIN LIGASE,2026-01-23T13:52:24Z,2026-01-24T16:32:22Z
target,LC3,protein,primary,2,2,LC3,2026-01-23T12:36:13Z,2026-01-23T13:54:52Z
model,Conditioned medium,unknown,primary,2,1,Conditioned medium,2026-01-23T12:41:30Z,2026-01-23T12:41:34Z
target,HSP90,protein,primary,2,2,HSP90,2026-01-23T12:36:13Z,2026-01-23T13:54:59Z
compound,OXYTOCIN,drug,primary,2,1,OXYTOCIN,2026-01-23T12:27:50Z,2026-01-23T12:27:52Z
target,LIGASE,protein,primary,2,1,LIGASE,2026-01-23T13:52:24Z,2026-01-24T16:32:22Z
stem_cell,reprogramming,,primary,2,2,reprogramming,2026-01-23T12:36:12Z,2026-01-23T12:39:02Z
assay,dynamic range,assay,primary,2,2,dynamic range,2026-01-23T12:30:34Z,2026-01-23T12:47:53Z
model,Bovine serum albumin,unknown,primary,2,2,Bovine serum albumin,2026-01-23T12:43:15Z,2026-01-23T12:47:38Z
assay,spectroscopy,assay,primary,2,2,spectroscopy,2026-01-23T12:39:58Z,2026-01-23T12:40:28Z
pathway,lipid metabolism,pathway,primary,2,2,lipid metabolism,2026-01-24T16:33:25Z,2026-01-24T16:34:49Z
target,CYSTEINE PROTEASE,protein,primary,2,1,CYSTEINE PROTEASE,2026-01-23T12:23:21Z,2026-01-23T12:23:24Z
target,ATF6,protein,primary,2,1,ATF6,2026-01-23T13:55:10Z,2026-01-24T16:33:26Z
indication,hypertension,disease,primary,2,2,hypertension,2026-01-23T12:34:17Z,2026-01-23T12:46:37Z
neural_cell,Purkinje cell,cell_type,primary,2,2,Purkinje cell,2026-01-23T12:34:38Z,2026-01-23T12:36:43Z
target,HSP70,protein,primary,2,2,HSP70,2026-01-23T12:36:13Z,2026-01-23T12:44:46Z
target,RENIN,protein,primary,2,1,RENIN,2026-01-23T13:52:49Z,2026-01-24T16:32:27Z
model,Cardiomyocytes,unknown,primary,2,2,Cardiomyocytes,2026-01-23T12:30:16Z,2026-01-23T13:57:27Z
model,MDCK,unknown,primary,2,1,MDCK,2026-01-23T13:58:11Z,2026-01-23T13:58:11Z
pathway,angiogenesis,pathway,primary,2,2,angiogenesis,2026-01-23T12:22:49Z,2026-01-23T12:45:09Z
pathway,PKC,pathway,primary,2,2,PKC,2026-01-23T12:36:23Z,2026-01-24T16:33:25Z
assay,recovery,assay,primary,2,2,recovery,2026-01-23T12:42:32Z,2026-01-23T12:49:03Z
target,IGF1R,protein,primary,2,1,IGF1R,2026-01-23T13:55:08Z,2026-01-24T16:33:25Z
target,CASP1,protein,primary,2,1,CASP1,2026-01-23T12:30:47Z,2026-01-23T12:30:48Z
model,Serum-free medium,cell_line,primary,2,1,Serum-free medium,2026-01-23T12:33:38Z,2026-01-23T12:33:38Z
model,Paraffin-embedded,cell_line,primary,2,1,Paraffin-embedded,2026-01-23T12:45:18Z,2026-01-23T12:45:18Z
pathway,PROTEOLYSIS,pathway,primary,1,1,proteolysis,2026-01-23T12:39:05Z,2026-01-23T12:39:05Z
peptide,ALICAPISTAT,,primary,1,1,ALICAPISTAT,2026-01-23T12:23:21Z,2026-01-23T12:23:21Z
assay,ChIP-seq,assay,primary,1,1,ChIP-seq,2026-01-23T12:49:44Z,2026-01-23T12:49:44Z
peptide,ANDREGISTERED,,primary,1,1,ANDREGISTERED,2026-01-23T12:45:58Z,2026-01-23T12:45:58Z
target,JNK,protein,primary,1,1,JNK,2026-01-23T12:36:13Z,2026-01-23T12:36:13Z
indication,leukemia,disease,primary,1,1,leukemia,2026-01-23T12:23:00Z,2026-01-23T12:23:00Z
assay,AUC,metric,primary,1,1,AUC,2026-01-23T12:49:11Z,2026-01-23T12:49:11Z
peptide,INTERNET,,primary,1,1,INTERNET,2026-01-23T12:48:35Z,2026-01-23T12:48:35Z
peptide,PERKINELMER,,primary,1,1,PERKINELMER,2026-01-23T12:51:08Z,2026-01-23T12:51:08Z
indication,autoimmune disease,disease,primary,1,1,autoimmune disease,2026-01-23T12:30:16Z,2026-01-23T12:30:16Z
target,MMP,protein,primary,1,1,MATRIX METALLOPROTEINASE,2026-01-23T12:29:57Z,2026-01-23T12:29:57Z
pathway,Notch,pathway,primary,1,1,Notch,2026-01-23T12:36:43Z,2026-01-23T12:36:43Z
compound,PHENFORMIN,drug,primary,1,1,PHENFORMIN,2026-01-23T13:52:19Z,2026-01-23T13:52:19Z
target,REDUCTASE,protein,primary,1,1,REDUCTASE,2026-01-23T13:54:19Z,2026-01-23T13:54:19Z
target,BACE1,protein,primary,1,1,BACE1,2026-01-23T12:23:20Z,2026-01-23T12:23:20Z
target,P38,protein,primary,1,1,P38,2026-01-23T12:23:20Z,2026-01-23T12:23:20Z
pathway,invasion,pathway,primary,1,1,invasion,2026-01-23T12:39:59Z,2026-01-23T12:39:59Z
model,Biopsy,unknown,primary,1,1,Biopsy,2026-01-23T12:36:42Z,2026-01-23T12:36:42Z
model,Nude mice,unknown,primary,1,1,Nude mice,2026-01-23T13:58:22Z,2026-01-23T13:58:22Z
model,Organoid,3d_model,primary,1,1,Organoid,2026-01-23T12:40:08Z,2026-01-23T12:40:08Z
peptide,MEDSCAPE,,primary,1,1,MEDSCAPE,2026-01-23T12:42:55Z,2026-01-23T12:42:55Z
peptide,REGISTERPAIR,,primary,1,1,REGISTERPAIR,2026-01-23T12:28:39Z,2026-01-23T12:28:39Z
model,MCF-7,cell_line,primary,1,1,MCF-7,2026-01-23T13:54:59Z,2026-01-23T13:54:59Z
assay,LC-MS,assay,primary,1,1,mass spectrometry,2026-01-23T12:29:54Z,2026-01-23T12:29:54Z
model,HESC,unknown,primary,1,1,HESC,2026-01-23T13:54:31Z,2026-01-23T13:54:31Z
indication,HIV,disease,primary,1,1,HIV,2026-01-23T12:50:52Z,2026-01-23T12:50:52Z
assay,potency,metric,primary,1,1,potency,2026-01-23T12:35:36Z,2026-01-23T12:35:36Z
pathway,calcium signaling,pathway,primary,1,1,calcium signaling,2026-01-23T12:30:35Z,2026-01-23T12:30:35Z
neural_cell,NPC,cell_type,primary,1,1,NPC,2026-01-23T12:23:01Z,2026-01-23T12:23:01Z
target,ERK1,protein,primary,1,1,ERK1,2026-01-23T12:44:59Z,2026-01-23T12:44:59Z
compound,GLUCAGON,drug,primary,1,1,GLUCAGON,2026-01-23T12:23:20Z,2026-01-23T12:23:20Z
pathway,neurotransmitter signaling,pathway,primary,1,1,neurotransmitter signaling,2026-01-23T12:51:10Z,2026-01-23T12:51:10Z
model,Endothelial cells,unknown,primary,1,1,Endothelial cells,2026-01-23T13:53:11Z,2026-01-23T13:53:11Z
