event_id,domain,event_type,entity_type,entity_name,entity_variant
1902b1d50c18c71d,methods_tooling,efficacy_result,model,RPMI,unknown
1902b1d50c18c71d,methods_tooling,efficacy_result,model,U937,cell_line
190b9437e42d1845,methods_tooling,method_evaluation,model,Plasma,biofluid
19298aaf92bc26e5,methods_tooling,decision_point,model,In vitro,unknown
19298aaf92bc26e5,methods_tooling,decision_point,model,In vivo,unknown
19298aaf92bc26e5,methods_tooling,decision_point,stem_cell,differentiation,
194dfcefc914036b,methods_tooling,method_evaluation,model,Plasma,biofluid
194e9aeb948925fc,methods_tooling,toxicity_flag,model,MICE,organism
194e9aeb948925fc,methods_tooling,toxicity_flag,model,Splenocytes,unknown
19e5babf7499a1ef,methods_tooling,efficacy_result,model,MICE,organism
19e5babf7499a1ef,methods_tooling,efficacy_result,model,Tissue,unknown
1a49771f823de330,methods_tooling,manufacturing_constraint,target,AKT,protein
1a49771f823de330,methods_tooling,manufacturing_constraint,target,FURIN,protein
1b25290e07fc116e,methods_tooling,decision_point,model,DOGS,unknown
1b25290e07fc116e,methods_tooling,decision_point,model,MICE,organism
1b3a5d61418fbea2,methods_tooling,manufacturing_constraint,model,Plasma,biofluid
1bed258cea973463,methods_tooling,toxicity_flag,target,TLR4,protein
1c02a6243487e09d,methods_tooling,toxicity_flag,compound,METFORMIN,drug
1c02a6243487e09d,methods_tooling,toxicity_flag,model,Mitochondria,unknown
1c02a6243487e09d,methods_tooling,toxicity_flag,model,Mitochondrial,unknown
1c02a6243487e09d,methods_tooling,toxicity_flag,model,TUMOR,unknown
1c02a6243487e09d,methods_tooling,toxicity_flag,model,URINE,biofluid
1c02a6243487e09d,methods_tooling,toxicity_flag,target,AMPK,protein
1c02a6243487e09d,methods_tooling,toxicity_flag,target,MTOR,protein
1c1d6eb4cf412dc3,methods_tooling,method_evaluation,model,SERUM,biofluid
1c6319f39964c49c,methods_tooling,regulatory_risk,model,BLOOD,biofluid
1c6319f39964c49c,methods_tooling,regulatory_risk,model,HUMAN,organism
1c6319f39964c49c,methods_tooling,regulatory_risk,target,ACE,protein
1d5a933ddef62726,methods_tooling,decision_point,model,DOGS,unknown
1d76daa5b8a63924,methods_tooling,toxicity_flag,model,Mitochondria,unknown
1d7c4388ed9e816e,methods_tooling,method_evaluation,model,Plasma,biofluid
1d7c4388ed9e816e,methods_tooling,method_evaluation,model,SERUM,biofluid
1dac85a3d9f7f339,methods_tooling,decision_point,model,In vivo,unknown
1ea1d7d0102563e0,methods_tooling,toxicity_flag,model,In vitro,unknown
1ea1d7d0102563e0,methods_tooling,toxicity_flag,model,In vivo,unknown
1ea1d7d0102563e0,methods_tooling,toxicity_flag,model,MICE,organism
1f9373f181d12ef2,methods_tooling,method_evaluation,model,Plasma,biofluid
2005fa62fe40bdb1,methods_tooling,method_evaluation,model,Plasma,biofluid
205a0e34cd9d8d58,methods_tooling,efficacy_result,model,In vivo,unknown
20cd924a10ed9941,methods_tooling,method_evaluation,target,IL-6,protein
20d5bc72cd395d31,methods_tooling,decision_point,model,Tissue,unknown
21b9ab32967a6125,methods_tooling,efficacy_result,target,HSP90,protein
240aadc454521c2f,methods_tooling,decision_point,model,HUMAN,organism
240aadc454521c2f,methods_tooling,decision_point,target,ACE,protein
2465e6ba5069cc1e,methods_tooling,regulatory_risk,model,Skeletal muscle,unknown
2465e6ba5069cc1e,methods_tooling,regulatory_risk,stem_cell,mesenchymal,
2465e6ba5069cc1e,methods_tooling,regulatory_risk,stem_cell,stem cell,
252ab856026a1fd4,methods_tooling,decision_point,model,Tissue,unknown
2617d62cbb72d753,methods_tooling,method_evaluation,model,Cytoplasm,unknown
2617d62cbb72d753,methods_tooling,method_evaluation,model,SERUM,biofluid
263a1474e6cf9a0a,methods_tooling,decision_point,model,Skeletal muscle,unknown
26559cb39a86cb5b,methods_tooling,method_evaluation,model,SERUM,biofluid
2668f764a10e5f96,methods_tooling,regulatory_risk,compound,QUERCETIN,drug
2668f764a10e5f96,methods_tooling,regulatory_risk,model,Organoids,3d_model
2668f764a10e5f96,methods_tooling,regulatory_risk,model,organoid,
2674f8bb2ee89b34,methods_tooling,decision_point,model,In vivo,unknown
2674f8bb2ee89b34,methods_tooling,decision_point,target,RECEPTOR,protein
