entity_type,entity_name,entity_variant,role,event_count,paper_count,original_variants,domain_id,domain_name,overlay_id,first_seen,last_seen
peptide,ALLEVIATE,,primary,1,1,ALLEVIATE,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:07:58Z,2026-02-02T16:07:58Z
target,IL6,protein,primary,1,1,IL6,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:06:32Z,2026-02-02T16:06:32Z
compound,SEMAGLUTIDE,drug,primary,1,1,SEMAGLUTIDE,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:46Z,2026-02-02T16:03:46Z
peptide,VISCERALFAT,,primary,1,1,VISCERALFAT,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:46Z,2026-02-02T16:03:46Z
compound,CURCUMIN,drug,primary,1,1,CURCUMIN,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:06:55Z,2026-02-02T16:06:55Z
target,SOD1,protein,primary,1,1,SOD1,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:06:26Z,2026-02-02T16:06:26Z
target,TLR9,protein,primary,1,1,TLR9,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:07:22Z,2026-02-02T16:07:22Z
compound,SULFORAPHANE,drug,primary,1,1,SULFORAPHANE,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:07:01Z,2026-02-02T16:07:01Z
peptide,CELLSIGNALING,,primary,1,1,CELLSIGNALING,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:06:21Z,2026-02-02T16:06:21Z
target,PI3K,protein,primary,1,1,PI3K,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:06:10Z,2026-02-02T16:06:10Z
target,GLP-1R,protein,primary,1,1,GLP-1R,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:47Z,2026-02-02T16:03:47Z
target,TRANSFERASE,protein,primary,1,1,TRANSFERASE,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:05:10Z,2026-02-02T16:05:10Z
