entity_type,entity_name,event_count,paper_count,first_seen,last_seen
compound,EXENATIDE,1,1,2026-02-02T16:03:46Z,2026-02-02T16:03:46Z
compound,FISETIN,1,1,2026-02-02T16:03:47Z,2026-02-02T16:03:47Z
compound,LIRAGLUTIDE,1,1,2026-02-02T16:03:46Z,2026-02-02T16:03:46Z
compound,NMN,1,1,2026-02-02T16:03:45Z,2026-02-02T16:03:45Z
compound,SEMAGLUTIDE,1,1,2026-02-02T16:03:46Z,2026-02-02T16:03:46Z
compound,SULFORAPHANE,1,1,2026-02-02T16:07:01Z,2026-02-02T16:07:01Z
model,Adipocytes,1,1,2026-02-02T16:07:06Z,2026-02-02T16:07:06Z
model,Brown adipose tissue,1,1,2026-02-02T16:08:26Z,2026-02-02T16:08:26Z
model,CHO,1,1,2026-02-02T16:03:51Z,2026-02-02T16:03:51Z
model,CSF,1,1,2026-02-02T16:03:47Z,2026-02-02T16:03:47Z
model,Ex vivo,1,1,2026-02-02T16:07:30Z,2026-02-02T16:07:30Z
model,Lysate,1,1,2026-02-02T16:04:23Z,2026-02-02T16:04:23Z
model,MEM,1,1,2026-02-02T16:07:22Z,2026-02-02T16:07:22Z
model,Organoids,1,1,2026-02-02T16:05:09Z,2026-02-02T16:05:09Z
model,PBMC,1,1,2026-02-02T16:07:21Z,2026-02-02T16:07:21Z
model,PIGS,1,1,2026-02-02T16:06:55Z,2026-02-02T16:06:55Z
model,Pancreatic islets,1,1,2026-02-02T16:03:45Z,2026-02-02T16:03:45Z
model,Primate,1,1,2026-02-02T16:07:21Z,2026-02-02T16:07:21Z
model,Serum-free medium,1,1,2026-02-02T16:05:09Z,2026-02-02T16:05:09Z
model,Smooth muscle cells,1,1,2026-02-02T16:07:23Z,2026-02-02T16:07:23Z
model,Splenocytes,1,1,2026-02-02T16:04:47Z,2026-02-02T16:04:47Z
model,Xenografts,1,1,2026-02-02T16:08:01Z,2026-02-02T16:08:01Z
peptide,ALLEVIATE,1,1,2026-02-02T16:07:58Z,2026-02-02T16:07:58Z
peptide,ANDRISINGFAST,1,1,2026-02-02T16:03:47Z,2026-02-02T16:03:47Z
peptide,CELLSIGNALING,1,1,2026-02-02T16:06:21Z,2026-02-02T16:06:21Z
peptide,DERIVATIVES,1,1,2026-02-02T16:08:24Z,2026-02-02T16:08:24Z
peptide,HYPERTENSIVE,1,1,2026-02-02T16:07:30Z,2026-02-02T16:07:30Z
peptide,IDENTITY,1,1,2026-02-02T16:08:24Z,2026-02-02T16:08:24Z
peptide,INDICATED,1,1,2026-02-02T16:04:59Z,2026-02-02T16:04:59Z
peptide,INDIRECT,1,1,2026-02-02T15:54:42Z,2026-02-02T15:54:42Z
peptide,RESIDENTIAL,1,1,2026-02-02T15:56:06Z,2026-02-02T15:56:06Z
peptide,SAMPLEHEATING,1,1,2026-02-02T16:07:12Z,2026-02-02T16:07:12Z
peptide,SHAPEFILESANDENVIEVF,1,1,2026-02-02T15:56:48Z,2026-02-02T15:56:48Z
peptide,VISCERALFAT,1,1,2026-02-02T16:03:46Z,2026-02-02T16:03:46Z
stem_cell,IPSC,1,1,2026-02-02T16:06:16Z,2026-02-02T16:06:16Z
stem_cell,pluripotent,1,1,2026-02-02T16:06:16Z,2026-02-02T16:06:16Z
stem_cell,reprogramming,1,1,2026-02-02T16:06:16Z,2026-02-02T16:06:16Z
target,BDNF,1,1,2026-02-02T16:03:46Z,2026-02-02T16:03:46Z
target,CASPASE,1,1,2026-02-02T16:06:26Z,2026-02-02T16:06:26Z
target,CAT,1,1,2026-02-02T16:04:36Z,2026-02-02T16:04:36Z
target,ERK,1,1,2026-02-02T16:08:21Z,2026-02-02T16:08:21Z
target,GLP-1R,1,1,2026-02-02T16:03:47Z,2026-02-02T16:03:47Z
target,GPX1,1,1,2026-02-02T16:06:26Z,2026-02-02T16:06:26Z
target,HSP90,1,1,2026-02-02T16:07:21Z,2026-02-02T16:07:21Z
target,IL6,1,1,2026-02-02T16:06:32Z,2026-02-02T16:06:32Z
target,INSR,1,1,2026-02-02T16:08:32Z,2026-02-02T16:08:32Z
target,JNK,1,1,2026-02-02T16:08:10Z,2026-02-02T16:08:10Z
target,NRF2,1,1,2026-02-02T16:06:26Z,2026-02-02T16:06:26Z
target,P21,1,1,2026-02-02T16:03:48Z,2026-02-02T16:03:48Z
target,P62,1,1,2026-02-02T16:08:07Z,2026-02-02T16:08:07Z
target,PDK1,1,1,2026-02-02T16:06:12Z,2026-02-02T16:06:12Z
target,PEPTIDASE,1,1,2026-02-02T16:06:55Z,2026-02-02T16:06:55Z
target,PI3K,1,1,2026-02-02T16:06:10Z,2026-02-02T16:06:10Z
target,RENIN,1,1,2026-02-02T16:08:00Z,2026-02-02T16:08:00Z
target,SOD1,1,1,2026-02-02T16:06:26Z,2026-02-02T16:06:26Z
target,SOD2,1,1,2026-02-02T16:06:26Z,2026-02-02T16:06:26Z
target,TLR9,1,1,2026-02-02T16:07:22Z,2026-02-02T16:07:22Z
target,TNF-Α,1,1,2026-02-02T16:07:45Z,2026-02-02T16:07:45Z
target,TRANSFERASE,1,1,2026-02-02T16:05:10Z,2026-02-02T16:05:10Z
target,UBIQUITIN,1,1,2026-02-02T16:06:55Z,2026-02-02T16:06:55Z
