event_id,domain,event_type,entity_type,entity_name,entity_variant
3b9b57db5ac8e29a,construction_science,load_event,environment,RAIN,
3ba838453ad07946,construction_science,other,system,PARTITION,
3ba838453ad07946,construction_science,other,test_method,THERMAL ANALYSIS,
3bb71214874859bc,construction_science,other,environment,THERMAL SHOCK,
3bb71214874859bc,construction_science,other,failure_mode,FAILURE MODE,
3bb8f927650d51cb,construction_science,degradation_event,failure_mode,FAILURE MODE,
3bb8f927650d51cb,construction_science,degradation_event,failure_mode,INSTABILITY,
3bd278727d22436c,construction_science,manufacturing_constraint,material,POLYMER,
3bd5ca83a7fd302f,construction_science,environmental_stress,environment,TEMPERATURE,
3bd5ca83a7fd302f,construction_science,environmental_stress,test_method,THERMAL ANALYSIS,
3bdfbfe8c406dfc3,construction_science,other,failure_mode,FAILURE MODE,
3be046a4ff54e91a,construction_science,degradation_event,system,INSULATION SYSTEM,
3bec527d675a44d5,construction_science,other,system,WALL,
3bec527d675a44d5,construction_science,other,test_method,THERMAL ANALYSIS,
3bf5ef6a147bc2d1,construction_science,environmental_stress,environment,HUMIDITY,
3bf5ef6a147bc2d1,construction_science,environmental_stress,environment,TEMPERATURE,
3c0bff73477924cc,construction_science,environmental_stress,environment,HUMIDITY,
3c17e1035455f65a,construction_science,other,system,BEAM,
3c1f6d74478b6069,construction_science,efficacy_result,system,BEAM,
3c20cdcc66084871,construction_science,environmental_stress,environment,THERMAL CYCLING,
3c20cdcc66084871,construction_science,environmental_stress,environment,THERMAL SHOCK,
3c20cdcc66084871,construction_science,environmental_stress,failure_mode,FAILURE MODE,
3c20cdcc66084871,construction_science,environmental_stress,system,STUD,
3c20cdcc66084871,construction_science,environmental_stress,test_method,THERMAL ANALYSIS,
3c22ccfc5383e5f3,construction_science,environmental_stress,environment,TEMPERATURE,
3c22ccfc5383e5f3,construction_science,environmental_stress,material,EPS,
3c2994755ce03b61,construction_science,other,system,INSULATION SYSTEM,
3c2b3ac1d8921990,construction_science,environmental_stress,environment,UV,
3c2b3ac1d8921990,construction_science,environmental_stress,system,STUD,
3c2b89d5b399ed33,construction_science,other,material,POLYMER,
3c2b89d5b399ed33,construction_science,other,system,INSULATION SYSTEM,
3c33f7b1e1389476,construction_science,other,hazard,CHEMICAL ATTACK,
3c3681fa8a5b07bf,construction_science,environmental_stress,environment,HUMIDITY,
3c3681fa8a5b07bf,construction_science,environmental_stress,environment,TEMPERATURE,
3c37ca56dd1c0a4e,construction_science,environmental_stress,environment,THERMAL CYCLING,
3c37ca56dd1c0a4e,construction_science,environmental_stress,environment,THERMAL SHOCK,
3c37ca56dd1c0a4e,construction_science,environmental_stress,test_method,THERMAL ANALYSIS,
3c4589f4c6a1c39a,construction_science,environmental_stress,environment,RAIN,
3c4589f4c6a1c39a,construction_science,environmental_stress,environment,THERMAL CYCLING,
3c4589f4c6a1c39a,construction_science,environmental_stress,environment,THERMAL SHOCK,
3c4589f4c6a1c39a,construction_science,environmental_stress,test_method,THERMAL ANALYSIS,
3c51cee143caa938,construction_science,load_event,material,FIBER,
3c51cee143caa938,construction_science,load_event,material,GLASS,
3c52b162b7edfc21,construction_science,efficacy_result,environment,RAIN,
3c52b162b7edfc21,construction_science,efficacy_result,failure_mode,FAILURE MODE,
3c5c2dcca3f41679,construction_science,manufacturing_constraint,environment,RAIN,
3c5f1e62f67ba59d,construction_science,environmental_stress,environment,TEMPERATURE,
3c6f0f9d0c630d9f,construction_science,other,failure_mode,FAILURE MODE,
3c6f0f9d0c630d9f,construction_science,other,material,STONE,
3c88f23bc8219ba8,construction_science,hazard_event,hazard,VIBRATION,
3c88f23bc8219ba8,construction_science,hazard_event,test_method,THERMAL ANALYSIS,
3c94c4b15583f6f9,construction_science,other,failure_mode,FAILURE MODE,
3c9f7d3161b52b54,construction_science,other,environment,RAIN,
3c9f7d3161b52b54,construction_science,other,failure_mode,FAILURE MODE,
3cb765f1215f20a1,construction_science,other,failure_mode,FAILURE MODE,
3cb765f1215f20a1,construction_science,other,material,STONE,
3cb8b9a6c7503825,construction_science,other,system,STUD,
3cc267ecb91affd0,construction_science,other,failure_mode,PLASTIC HINGE,
3ce38446e577c28c,construction_science,environmental_stress,environment,THERMAL CYCLING,
3ce38446e577c28c,construction_science,environmental_stress,environment,THERMAL SHOCK,
3ce38446e577c28c,construction_science,environmental_stress,test_method,THERMAL ANALYSIS,
3cec0da28b060088,construction_science,other,system,STUD,
3cf2575385d1395f,construction_science,other,system,INSULATION SYSTEM,
3cf4781eae5183ab,construction_science,environmental_stress,environment,TEMPERATURE,
3cf743bab5a03d61,construction_science,environmental_stress,environment,TEMPERATURE,
3d06a2371702da32,construction_science,load_event,environment,ENVIRONMENTAL STRESS,
3d06a2371702da32,construction_science,load_event,test_method,STRESS TEST,
3d131fd012f4edbd,construction_science,environmental_stress,environment,TEMPERATURE,
3d39a59a8cb86bd2,construction_science,environmental_stress,environment,THERMAL CYCLING,
3d39a59a8cb86bd2,construction_science,environmental_stress,environment,THERMAL SHOCK,
3d39a59a8cb86bd2,construction_science,environmental_stress,test_method,THERMAL ANALYSIS,
3d3f99a8c4360565,construction_science,load_event,failure_mode,FAILURE MODE,
3d3f99a8c4360565,construction_science,load_event,test_method,CREEP TEST,
3d3f99a8c4360565,construction_science,load_event,test_method,FATIGUE TEST,
3d3f99a8c4360565,construction_science,load_event,test_method,LOAD TEST,
3d3f99a8c4360565,construction_science,load_event,test_method,MODULUS,
3d3f99a8c4360565,construction_science,load_event,test_method,STRESS TEST,
3d3f99a8c4360565,construction_science,load_event,test_method,TENSILE TEST,
3d426acf4e201dae,construction_science,other,hazard,CHEMICAL ATTACK,
3d5ea811e866c096,construction_science,other,system,INSULATION SYSTEM,
3d68e4e700b40b20,construction_science,other,failure_mode,FAILURE MODE,
3d6d1426d77778d1,construction_science,other,environment,RAIN,
3d6d1426d77778d1,construction_science,other,test_method,THERMAL ANALYSIS,
3d7103e38e4e37be,construction_science,other,material,STONE,
3d8e0d7da2411ac2,construction_science,environmental_stress,environment,SOLAR,
3d8e5aab0cbfa302,construction_science,environmental_stress,environment,HUMIDITY,
3d8e5aab0cbfa302,construction_science,environmental_stress,environment,MOISTURE,
3d8e6e24bf87e30a,construction_science,degradation_event,environment,WEATHER,
3d8e6e24bf87e30a,construction_science,degradation_event,hazard,CHEMICAL ATTACK,
3d8e6e24bf87e30a,construction_science,degradation_event,material,XPS,
3d8e6e24bf87e30a,construction_science,degradation_event,system,STUD,
3d8e6e24bf87e30a,construction_science,degradation_event,test_method,THERMAL ANALYSIS,
3dabb2760635a153,construction_science,load_event,failure_mode,FAILURE MODE,
3dabb2760635a153,construction_science,load_event,test_method,ELASTICITY,
3db0d91002fadb41,construction_science,manufacturing_constraint,failure_mode,FAILURE MODE,
3dcd1d14c2c5c6c6,construction_science,decision_point,environment,RAIN,
3dce8127b167d714,construction_science,load_event,test_method,STRENGTH,
3dce8127b167d714,construction_science,load_event,test_method,ULTIMATE STRENGTH,
3dce8127b167d714,construction_science,load_event,test_method,YIELD STRENGTH,
3de96b99f0cfabdc,construction_science,other,material,CERAMIC,
3e06d0e100b4d258,construction_science,other,system,INSULATION SYSTEM,
3e06d0e100b4d258,construction_science,other,system,PARTITION,
3e0b498a8d94717e,construction_science,other,hazard,CHEMICAL ATTACK,
3e0d2720762b27c8,construction_science,environmental_stress,environment,THERMAL CYCLING,
3e0d2720762b27c8,construction_science,environmental_stress,environment,THERMAL SHOCK,
3e0d2720762b27c8,construction_science,environmental_stress,test_method,THERMAL ANALYSIS,
3e13939863ec9b44,construction_science,environmental_stress,environment,TEMPERATURE,
3e168d343b2eefbf,construction_science,other,test_method,THERMAL ANALYSIS,
3e17b4fd3cdb8392,construction_science,degradation_event,environment,TEMPERATURE,
3e17b4fd3cdb8392,construction_science,degradation_event,failure_mode,INSTABILITY,
3e1f48bbb6445865,construction_science,other,failure_mode,FAILURE MODE,
3e2f220e737e3b47,construction_science,environmental_stress,environment,HUMIDITY,
3e2f220e737e3b47,construction_science,environmental_stress,environment,TEMPERATURE,
3e326b8d5b1df7b5,construction_science,other,material,POLYMER,
3e3a9bf758a9b6fa,construction_science,other,system,WALL,
3e3aef40f2b039ab,construction_science,other,system,INSULATION SYSTEM,
3e3eaa95daa3f3c1,construction_science,other,failure_mode,FAILURE MODE,
3e53bd1b5beabe7a,construction_science,environmental_stress,environment,HUMIDITY,
3e53bd1b5beabe7a,construction_science,environmental_stress,environment,TEMPERATURE,
3e5aeb17120e5cd5,construction_science,other,system,INSULATION SYSTEM,
3e60edae1874b9c9,construction_science,load_event,test_method,ELASTICITY,
