entity_type,entity_name,entity_variant,role,event_count,paper_count,original_variants,domain_id,domain_name,overlay_id,first_seen,last_seen
model,In situ,unknown,primary,1,1,In situ,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:08:09Z,2026-01-22T20:08:09Z
target,KALLIKREIN,protein,primary,1,1,KALLIKREIN,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:08:34Z,2026-01-22T20:08:34Z
pathway,Ras,pathway,primary,1,1,Ras,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:08:16Z,2026-01-22T20:08:16Z
indication,anxiety,disease,primary,1,1,anxiety,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:09:23Z,2026-01-22T20:09:23Z
assay,dynamic range,assay,primary,1,1,dynamic range,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:09:10Z,2026-01-22T20:09:10Z
compound,LINACLOTIDE,drug,primary,1,1,LINACLOTIDE,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:08:31Z,2026-01-22T20:08:31Z
target,THROMBIN,protein,primary,1,1,THROMBIN,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:08:14Z,2026-01-22T20:08:14Z
model,Bovine serum albumin,unknown,primary,1,1,Bovine serum albumin,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:08:59Z,2026-01-22T20:08:59Z
assay,ion exchange chromatography,assay,primary,1,1,ion exchange chromatography,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:08:02Z,2026-01-22T20:08:02Z
compound,ABALOPARATIDE,drug,primary,1,1,ABALOPARATIDE,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:08:35Z,2026-01-22T20:08:35Z
compound,TERIPARATIDE,drug,primary,1,1,TERIPARATIDE,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:08:31Z,2026-01-22T20:08:31Z
assay,ion trap,assay,primary,1,1,ion trap,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:07:56Z,2026-01-22T20:07:56Z
pathway,translation,pathway,primary,1,1,translation,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:09:25Z,2026-01-22T20:09:25Z
assay,evaporation,assay,primary,1,1,evaporation,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:07:56Z,2026-01-22T20:07:56Z
pathway,methylation,pathway,primary,1,1,methylation,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:08:15Z,2026-01-22T20:08:15Z
target,ION CHANNEL,protein,primary,1,1,ION CHANNEL,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:08:45Z,2026-01-22T20:08:45Z
pathway,oxidative stress,pathway,primary,1,1,oxidative stress,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:09:06Z,2026-01-22T20:09:06Z
assay,SEC,assay,primary,1,1,SEC,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:08:02Z,2026-01-22T20:08:02Z
model,mesenchymal stem cell,unknown,primary,1,1,MSC,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:07:56Z,2026-01-22T20:07:56Z
target,CHYMOTRYPSIN,protein,primary,1,1,CHYMOTRYPSIN,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:08:31Z,2026-01-22T20:08:31Z
target,TRYPSIN,protein,primary,1,1,TRYPSIN,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:08:31Z,2026-01-22T20:08:31Z
pathway,angiogenesis,pathway,primary,1,1,angiogenesis,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:09:13Z,2026-01-22T20:09:13Z
assay,MRM,assay,primary,1,1,MRM,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:09:11Z,2026-01-22T20:09:11Z
assay,affinity chromatography,assay,primary,1,1,affinity chromatography,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:08:16Z,2026-01-22T20:08:16Z
target,BIP,protein,primary,1,1,BIP,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:08:04Z,2026-01-22T20:08:04Z
assay,freeze-drying,assay,primary,1,1,freeze-drying,stem_cells_regen,Stem Cells & Regenerative Biology,stem_cells_regen_v1,2026-01-22T20:09:01Z,2026-01-22T20:09:01Z
