entity_type,entity_name,entity_variant,role,event_count,paper_count,original_variants,domain_id,domain_name,overlay_id,first_seen,last_seen
target,CARRIER PROTEIN,protein,primary,1,1,CARRIER PROTEIN,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-22T20:08:17Z,2026-01-22T20:08:17Z
target,REDUCTASE,protein,primary,1,1,REDUCTASE,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-22T20:09:05Z,2026-01-22T20:09:05Z
pathway,peptide cleavage,pathway,primary,1,1,peptide cleavage,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-22T20:08:18Z,2026-01-22T20:08:18Z
assay,repeatability,assay,primary,1,1,repeatability,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-22T20:07:57Z,2026-01-22T20:07:57Z
indication,lung cancer,disease,primary,1,1,lung cancer,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-22T20:08:05Z,2026-01-22T20:08:05Z
compound,ETELCALCETIDE,drug,primary,1,1,ETELCALCETIDE,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-22T20:08:35Z,2026-01-22T20:08:35Z
pathway,cell death,pathway,primary,1,1,cell death,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-22T20:08:05Z,2026-01-22T20:08:05Z
compound,PLECANATIDE,drug,primary,1,1,PLECANATIDE,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-22T20:08:35Z,2026-01-22T20:08:35Z
indication,HIV,disease,primary,1,1,HIV,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-22T20:08:02Z,2026-01-22T20:08:02Z
target,EXOPEPTIDASE,protein,primary,1,1,EXOPEPTIDASE,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-22T20:09:14Z,2026-01-22T20:09:14Z
assay,potency,metric,primary,1,1,potency,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-22T20:09:10Z,2026-01-22T20:09:10Z
pathway,amyloid formation,pathway,primary,1,1,amyloid formation,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-22T20:09:00Z,2026-01-22T20:09:00Z
assay,ELISA,assay,primary,1,1,ELISA,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-22T20:08:22Z,2026-01-22T20:08:22Z
pathway,reduction,pathway,primary,1,1,reduction,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-22T20:08:20Z,2026-01-22T20:08:20Z
assay,stationary phase,assay,primary,1,1,stationary phase,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-22T20:07:58Z,2026-01-22T20:07:58Z
pathway,MEK,pathway,primary,1,1,MEK,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-22T20:08:44Z,2026-01-22T20:08:44Z
pathway,enzymatic degradation,pathway,primary,1,1,enzymatic degradation,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-22T20:09:23Z,2026-01-22T20:09:23Z
target,EGFR,protein,primary,1,1,EGFR,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-22T20:08:43Z,2026-01-22T20:08:43Z
assay,time-of-flight,assay,primary,1,1,time-of-flight,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-22T20:08:02Z,2026-01-22T20:08:02Z
assay,reverse phase chromatography,assay,primary,1,1,reverse phase chromatography,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-22T20:07:58Z,2026-01-22T20:07:58Z
target,LIGASE,protein,primary,1,1,LIGASE,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-22T20:08:45Z,2026-01-22T20:08:45Z
